,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
477285,2980,Alameda Brewhouse,1096307214,4.0,5.0,4.5,RoyalT,Foreign / Export Stout,4.0,4.0,Black Bear XX Stout,7.0,16046
1461156,96,Magic Hat Brewing Company,1266970557,3.5,3.5,3.0,jwc215,American Amber / Red Lager,3.5,3.5,Vinyl,5.1,54540
649101,30,Avery Brewing Company,1324947778,4.0,4.0,4.0,EnemyWithin,American Double / Imperial Stout,3.5,4.0,Mephistopheles' Stout,16.8,28204
1536355,212,Brouwerij Van Honsebrouck N.V.,1218842518,4.0,3.5,4.0,smcolw,Belgian Pale Ale,4.0,4.0,Kasteel Blond,7.0,1712
410542,694,Tröegs Brewing Company,1144190561,4.0,4.5,4.0,Schooly,American Amber / Red Ale,4.0,4.5,Tröegs Nugget Nectar,7.5,15881
855261,13307,Mikkeller ApS,1211287081,4.5,4.5,4.5,BuckeyeNation,American Pale Ale (APA),4.0,4.5,All Others Pale,6.0,41009
285030,35,Boston Beer Company (Samuel Adams),1141496011,4.0,4.0,4.0,Gusler,Doppelbock,3.5,4.0,Samuel Adams Double Bock (Imperial Series),9.5,47785
777035,42,Brewery Ommegang,1319143431,4.5,4.5,4.0,Haybeerman,Quadrupel (Quad),4.0,4.0,Three Philosophers Belgian Style Blend (Quadrupel),9.8,3457
1136987,863,Russian River Brewing Company,1298756394,5.0,5.0,4.5,biggied,American Double / Imperial IPA,5.0,5.0,Pliny The Younger,11.0,21690
1551035,345,Victory Brewing Company,1302128995,4.5,4.0,4.5,garuda,American Pale Ale (APA),4.0,4.5,Headwaters Pale Ale,5.1,66281
1288557,1749,Moosejaw Pizza & Dells Brewing Co.,1144687878,4.5,4.0,4.0,DaPeculierDane,German Pilsener,4.0,4.0,Dells Pilsner,5.0,29788
56679,1784,Outer Banks Brewing Station,1194904586,4.0,3.0,3.5,MuddyFeet,Rye Beer,3.0,3.0,Ryes And Shine,,39594
783831,3463,Brouwerij Contreras,1235252645,4.0,4.5,4.5,Gmann,Belgian Dark Ale,4.0,4.0,Valeir Donker,6.5,28264
1447791,63,Deschutes Brewery,1294546970,4.5,3.5,4.0,ADZA,American Pale Ale (APA),3.5,4.0,Hop Trip (Bond Street Series),5.5,26395
263965,68,Flying Dog Brewery,1211848763,4.0,4.0,4.5,daledeee,American Double / Imperial IPA,4.5,4.0,Double Dog Double Pale Ale,11.5,35754
37063,3268,O'Fallon Brewery,1295935580,3.0,4.0,2.5,sixerofelixir,Fruit / Vegetable Beer,3.0,4.0,Cherry Chocolate Beer,5.7,16638
521644,113,Samuel Smith Old Brewery (Tadcaster),1110608762,4.5,4.5,4.0,watermelonman,English Porter,4.5,4.0,"Samuel Smith's, The Famous Taddy Porter",5.0,572
376130,22,Unibroue,1051922523,4.0,4.5,4.0,MJR,Belgian Strong Pale Ale,4.5,5.0,Unibroue 11,11.0,7361
444803,9148,Woof Breweries,1223574877,3.5,3.5,4.0,djeucalyptus,American Amber / Red Ale,3.5,3.5,Dog Leg Right Amber Ale,,19890
989718,859,Snoqualmie Falls Brewing Company & Taproom,1239657767,4.5,4.0,4.0,BuckeyeNation,Belgian Strong Pale Ale,4.0,4.5,Spring Fever Belgian Style Grand Cru Ale,7.0,3362
259923,1394,Skagit River Brewery,1255745181,4.0,4.0,3.5,RedDiamond,American Porter,4.0,4.0,Highwater Porter,5.0,23588
550532,269,Ceres Brewery (Royal Unibrew),1182360717,4.0,4.5,4.0,wagenvolks,Foreign / Export Stout,4.0,4.0,Ceres Royal Stout (Ceres Extra Strong Stout),7.7,743
951478,805,Brasserie Du Bocq,1232232582,3.5,3.5,3.5,Absumaster,Belgian Pale Ale,3.0,3.5,St. Benôit Blonde,6.3,6058
863475,9790,The Duck-Rabbit Craft Brewery,1200096103,4.0,4.0,4.0,AlexJ,Baltic Porter,4.5,4.5,Duck-Rabbit Baltic Porter,9.0,32180
726039,10607,Sixpoint Brewery,1250989593,4.0,4.0,4.5,erz316,Rye Beer,3.5,4.0,Righteous Ale,6.4,23453
1222837,4,Allagash Brewing Company,1304654421,4.0,4.5,4.5,OrangeAmps,Belgian Strong Dark Ale,4.0,3.5,Allagash Black,7.5,40051
506721,132,Rogue Ales,1288748543,3.0,3.0,3.5,Fatehunter,Fruit / Vegetable Beer,4.5,3.5,Morimoto Black Obi Soba Ale,4.8,31282
1158214,820,Augustiner-Bräu Wagner KG,1266319595,4.5,4.0,4.0,czfreeman,Munich Helles Lager,4.0,4.0,Augustiner Bräu Edelstoff,5.6,4139
1361574,220,Lagunitas Brewing Company,1135648420,4.5,3.5,4.0,Iguana,American Strong Ale,4.0,4.5,Hairy Eyeball Ale,9.0,2533
690774,252,Bayerische Staatsbrauerei Weihenstephan,1267311823,5.0,4.0,4.5,ColForbinBC,Weizenbock,4.5,4.0,Weihenstephaner Vitus,7.7,35625
750402,16524,Lobethal Bierhaus,1259634172,3.0,4.0,3.5,laituegonflable,Hefeweizen,2.5,3.0,Hefeweizen,5.1,49457
998189,10707,Trader Joe's Brewing Company,1175450949,4.0,3.5,4.5,Gavage,Belgian Strong Dark Ale,4.0,4.5,Trader Joe's 2006 Vintage Ale,9.0,33763
154936,3818,Southern Tier Brewing Company,1199060257,4.5,5.0,5.0,HopDerek,American Double / Imperial Stout,4.5,5.0,Choklat,11.0,40058
933732,287,"Bell's Brewery, Inc.",1242180820,5.0,4.5,2.5,chaz410,American IPA,4.5,4.5,Two Hearted Ale,7.0,1093
586581,477,Willimantic Brewing Co.,1118709091,4.0,4.5,4.0,NEhophead,American IPA,4.0,4.5,Willimantic Address Unknown IPA,6.5,7459
1451277,412,Kulmbacher Brauerei AG,1192982804,3.5,3.0,5.0,TheSarge,Märzen / Oktoberfest,3.5,3.0,Mönchshof Weihnachts Bier,5.6,33539
23603,1199,Founders Brewing Company,1290827979,4.0,4.5,4.5,in780,American Double / Imperial Stout,5.0,5.0,Founders Breakfast Stout,8.3,11757
1097270,418,Left Hand Brewing Company,1055886641,3.5,4.0,4.0,JohnnyDuvel,Russian Imperial Stout,3.5,3.5,Left Hand Imperial Stout,10.4,2654
669935,651,Ithaca Beer Company,1318379986,4.5,5.0,4.0,burnstar,American IPA,4.0,4.0,Flower Power India Pale Ale,7.5,6076
1260215,112,North Coast Brewing Co.,1319073676,4.5,4.0,4.0,CaptDavyJones,Belgian Strong Pale Ale,4.5,4.5,Pranqster,7.6,411
790177,95,Löwenbräu AG,1146245062,4.5,4.5,4.5,Vinodiuz,Hefeweizen,4.5,4.5,Löwen Weisse,5.2,9860
1238196,588,Krogh's Restaurant And Brewpub,1142731245,4.5,3.5,4.5,normZurawski,Oatmeal Stout,4.0,4.0,Old Krogh Oatmeal Stout,,5644
1468487,96,Magic Hat Brewing Company,1290234457,4.0,4.0,4.0,Gambrinus1184,American IPA,3.5,4.0,Encore,6.0,61703
939983,287,"Bell's Brewery, Inc.",1266381183,4.0,3.5,4.0,Evocatus,American Stout,4.0,4.5,Bell's Kalamazoo Stout,6.0,1117
1088789,812,Marin Brewing Company,1277411944,4.5,4.0,4.0,mj001jk,Herbed / Spiced Beer,4.0,4.5,E.S. CHI,5.5,59526
1044865,720,Demarche Brewery,1218658665,4.5,4.0,3.5,philipquarles,Belgian Strong Pale Ale,4.0,4.0,Ciney Blonde,7.0,2143
1554902,345,Victory Brewing Company,1117402097,4.0,4.5,3.5,ncbrewerbun,American Double / Imperial IPA,4.5,4.0,Hop Wallop,8.5,14916
408154,694,Tröegs Brewing Company,1167474042,2.0,2.5,3.5,Erdinger2003,American Pale Ale (APA),3.0,2.0,Tröegs Pale Ale,5.4,2619
1104119,784,Tyranena Brewing Company,1215142512,4.0,4.5,4.0,Goliath,American Porter,4.5,5.0,Devil Over A Barrel - Bourbon Barrel-Aged Coffee Imperial Oatmeal Porter,8.0,42084
585972,16878,Marshall Brewing Company,1261350777,3.0,3.5,3.5,Bierguy5,American IPA,3.5,3.5,Atlas India Pale Ale,6.5,44331
151089,3818,Southern Tier Brewing Company,1179686667,4.0,4.0,3.5,hoppymeal,American Barleywine,4.5,4.0,Backburner (Imperial Barley Wine Style Ale),9.6,36185
1391276,219,Sudwerk Restaurant and Brewery,1245726864,4.0,4.0,4.0,washburnkid,Maibock / Helles Bock,3.5,3.5,Sudwerk Mai Bock,7.2,17146
566176,33,Berkshire Brewing Company Inc.,1295388618,4.5,4.0,4.0,SeussMD,English India Pale Ale (IPA),4.0,4.5,Lost Sailor India Pale Ale,5.5,89
455336,590,New Glarus Brewing Company,1210040287,4.0,4.0,4.0,jayrod20,Oatmeal Stout,4.0,4.0,Road Slush Stout,6.2,28267
723027,689,Two Brothers Brewing Company,1227034574,3.5,4.0,3.5,WesWes,Bière de Garde,4.0,3.5,Domaine DuPage French Style Country Ale,5.9,2961
192092,2743,Green Flash Brewing Co.,1254963924,4.0,3.5,4.5,homebrewhawk,Belgian IPA,4.0,3.5,Green Flash Le Freak,9.2,36727
576462,2210,Firestone Walker Brewing Co.,1274659208,5.0,4.5,4.5,dyan,American Strong Ale,4.5,5.0,Firestone 13 - Anniversary Ale,12.0,53872
1541289,345,Victory Brewing Company,1102609598,4.5,4.0,4.0,RBorsato,Tripel,4.5,4.5,Golden Monkey,9.5,1003
895445,147,Stone Brewing Co.,1320984783,4.5,4.5,4.5,CHickman,American Strong Ale,4.5,4.5,Lukcy 13asartd Ale,8.5,62645
1467829,96,Magic Hat Brewing Company,1275443635,2.5,3.5,3.5,therica,Fruit / Vegetable Beer,2.5,2.5,Wacko,4.5,48190
1283250,335,New Holland Brewing Company,1310596973,3.0,4.5,4.0,Metalmonk,American Black Ale,3.5,2.5,New Holland Black Hatter,5.5,31431
1361371,220,Lagunitas Brewing Company,1307154423,3.0,3.0,3.5,Duff27,American Strong Ale,4.0,3.5,Hairy Eyeball Ale,9.0,2533
1446770,63,Deschutes Brewery,1298238204,3.5,4.0,3.5,TheSevenDuffs,American Pale Ale (APA),4.0,3.5,Red Chair NWPA,6.4,55564
786522,612,Flossmoor Station Restaurant & Brewery,1282370370,5.0,4.5,4.5,xpimptastikx,English Barleywine,5.0,5.0,Wooden Hell,9.5,36567
888682,147,Stone Brewing Co.,1317342819,4.0,4.0,3.5,ToasterChef,Scotch Ale / Wee Heavy,4.0,4.0,Highway 78 Scotch Ale,8.8,66037
471299,392,Weyerbacher Brewing Co.,1189828334,4.0,3.5,3.5,phisig137,American IPA,4.0,4.0,Hops Infusion,6.2,1483
820977,725,Brouwerij Haacht NV,1283803824,3.5,3.5,4.0,smcolw,Tripel,3.5,4.0,Tongerlo 8 Tripel Blond,8.0,9163
1097202,418,Left Hand Brewing Company,1099270525,3.5,3.5,4.0,arizcards,Russian Imperial Stout,4.5,4.0,Left Hand Imperial Stout,10.4,2654
1136418,863,Russian River Brewing Company,1288082341,5.0,4.5,4.5,oregone,American Double / Imperial IPA,4.0,5.0,Pliny The Younger,11.0,21690
1387353,2351,Royal Oak Brewery,1148177345,3.5,3.0,4.0,walleye,American Pale Wheat Ale,3.0,3.0,4th Street Wheat,4.8,8527
1240147,209,Guinness Ltd.,1142980111,3.0,2.0,3.5,becktone,Euro Pale Lager,4.0,4.0,Harp Lager,5.0,862
635079,1114,Bullfrog Brewery,1274832965,4.0,4.5,4.0,weeare138,American Barleywine,4.0,4.0,Old Toad Barleywine,11.0,24511
239895,48,Brouwerij Van Steenberge N.V.,1235806510,4.0,4.5,4.5,jim1904,Lambic - Fruit,4.0,3.5,Cherish Raspberry Lambic,5.0,2500
1307596,29,Anheuser-Busch,1164775460,3.0,2.5,2.5,scruffwhor,Winter Warmer,2.5,3.0,Winter's Bourbon Cask Ale,6.0,27354
296411,35,Boston Beer Company (Samuel Adams),1247271512,3.0,3.0,2.5,klewis,Witbier,4.0,3.0,LongShot Cranberry Wit,5.0,46903
793990,8423,Rocky Run Tap And Grill,1073198476,4.5,3.0,3.5,NeroFiddled,American Pale Ale (APA),3.5,3.5,Big Gut Pale Ale,,15237
1039725,173,Hair of the Dog Brewing Company / Brewery and Tasting Room,1285643233,4.0,4.0,4.5,andrewinski1,American Strong Ale,4.5,5.0,Fred,10.0,459
1507420,321,Brasserie d'Achouffe,1019343417,4.5,4.5,4.5,sprinkle,Belgian Strong Pale Ale,4.5,4.5,La Chouffe,8.0,1836
1301771,29,Anheuser-Busch,1166749701,3.0,2.0,1.0,d07c0m,Light Lager,2.5,1.5,Bud Light,4.2,1320
23784,1199,Founders Brewing Company,1285217545,4.0,4.5,4.5,perrymarcus,American Double / Imperial Stout,4.5,4.5,Founders Breakfast Stout,8.3,11757
624229,10097,Harpoon Brewery,1082978142,3.5,4.0,4.0,brewandbbq,Witbier,4.5,3.5,Harpoon Wit Beer (100 Barrel Series #02),4.5,12069
278770,15280,Atwater Block Brewery,1233979849,2.0,3.0,3.5,TheManiacalOne,Bock,3.0,2.0,Atwater Winter Bock,7.5,39884
142924,17981,Cigar City Brewing,1296615627,4.0,4.0,4.0,paulozanello,Russian Imperial Stout,4.5,4.0,Marshal Zhukov's Imperial Stout,11.5,45973
617238,10097,Harpoon Brewery,1185757418,4.0,4.0,4.5,sulldaddy,Old Ale,4.5,4.0,Harpoon English Style Old Ale (100 Barrel Series #17),7.9,34468
1231418,46,Broughton Ales Ltd,1061177929,4.0,4.0,4.5,Winter,Oatmeal Stout,4.0,4.0,Kinmount Willie Oatmeal Stout,4.2,149
610422,106,JOS. Schlitz Brewing Co. (Pabst),1301678184,5.0,5.0,5.0,schlitzophrenia,American Adjunct Lager,5.0,5.0,Schlitz Gusto (Classic 1960's Formula),4.7,44315
1016119,178,J.W. Lees & Co (Brewers) Ltd,1114394163,4.0,4.0,4.0,MrSeth,English Barleywine,4.5,5.0,J.W. Lees Vintage Harvest Ale,11.5,705
139170,17981,Cigar City Brewing,1301178000,4.0,4.0,4.5,Gueuzedude,American Black Ale,4.0,4.0,Either,11.2,63422
1224301,2874,Brasserie St. Feuillien,1104895289,5.0,3.5,4.0,RedBaron,Belgian Strong Dark Ale,5.0,5.0,St. Feuillien Cuvée De Noël,9.0,6804
1440585,63,Deschutes Brewery,1288480516,3.5,3.5,4.0,keithmurray,American Porter,4.0,4.0,Black Butte Porter,5.2,198
1129202,105,Miller Brewing Co.,1279912697,1.0,1.0,1.0,junjun,American Adjunct Lager,1.5,1.0,Milwaukee's Best Ice,5.9,1484
377029,22,Unibroue,1071703247,3.0,3.0,3.5,masterbruewer,Belgian Strong Dark Ale,3.0,4.0,Trois Pistoles,9.0,30
1440615,63,Deschutes Brewery,1289165780,4.0,3.5,4.0,felipe2toes,American Porter,4.0,4.5,Black Butte Porter,5.2,198
1341852,18,Freeminer Brewery Ltd.,1230680281,3.5,3.0,3.0,fullsweep,English Pale Ale,3.5,3.5,Organic Premium Ale,5.0,46940
1179074,10099,Dogfish Head Brewery,1026466194,2.5,3.5,4.0,Longstaff,Belgian Strong Dark Ale,3.5,2.5,Raison D'etre,8.0,1180
922437,75,Grupo Modelo S.A. de C.V.,1108017071,3.0,2.5,3.0,inebrius,American Adjunct Lager,3.0,2.5,Modelo Especial,4.4,1321
837305,5316,Full Sail Brewery & Tasting Room & Pub,1215586637,4.0,3.5,4.0,JohnGalt1,American IPA,4.0,4.0,Prodigal Sun IPA (Brewmaster Reserve),6.2,43303
911798,9877,Rush River Brewing Company,1308261829,3.0,3.5,4.5,morimech,American Double / Imperial IPA,4.0,3.5,Double Bubble,9.2,50218
165950,610,Bear Republic Brewing Co.,1218760977,4.0,4.0,4.0,tempest,Witbier,4.0,4.0,Wit,,42625
24397,1199,Founders Brewing Company,1151632773,3.0,3.0,4.0,nyjets1248,Scotch Ale / Wee Heavy,3.0,3.0,Founders Dirty Bastard,8.5,7463
232632,654,Brouwerij Mort Subite,1231560699,3.5,4.0,4.0,Gueuzedude,Lambic - Fruit,4.0,4.0,Mort Subite Oude Kriek,6.5,34177
1234676,478,Labatt Brewing Company Ltd.,1313188292,3.0,2.0,3.0,tdm168,American Adjunct Lager,3.5,3.5,Labatt Blue,5.0,1371
934617,287,"Bell's Brewery, Inc.",1173310125,4.5,4.0,4.5,meatyard,American IPA,4.0,4.0,Two Hearted Ale,7.0,1093
642534,30,Avery Brewing Company,1290037780,4.5,4.0,4.5,BBP,American Double / Imperial IPA,4.0,4.0,Maharaja,10.3,22352
853419,13307,Mikkeller ApS,1312925768,4.5,4.0,5.0,ImperialStoat,American Double / Imperial Stout,4.5,4.0,George! Bourbonfadlagret,12.12,65151
1248066,16206,Philadelphia Brewing Company,1263135024,3.5,4.0,4.0,TommyW,Kölsch,3.5,3.5,Kenzinger,4.5,41605
78460,140,Sierra Nevada Brewing Co.,1324446110,4.5,4.5,5.0,thecheapies,American Barleywine,3.5,4.5,Sierra Nevada Bigfoot Barleywine Style Ale,9.6,2671
318119,35,Boston Beer Company (Samuel Adams),1203819517,3.5,3.5,3.5,Gueuzedude,Bock,4.0,4.0,Samuel Adams Winter Lager,5.5,101
1118754,141,Smuttynose Brewing Company,1281767708,4.5,4.0,4.0,flagmantho,American IPA,4.0,4.0,"Smuttynose IPA ""Finest Kind""",6.9,16403
1501137,259,Brouwerij St. Bernardus NV,1247293523,4.0,4.0,5.0,BedetheVenerable,Quadrupel (Quad),4.0,4.5,St. Bernardus Abt 12,10.0,1708
1446908,63,Deschutes Brewery,1264808178,4.5,4.5,4.5,champ103,American Pale Ale (APA),4.0,4.0,Red Chair NWPA,6.4,55564
245610,24803,Mystic Brewery,1321537380,4.0,3.5,4.5,mlazzaro,English Stout,3.5,4.0,Descendant Suffolk Dark Ale,7.0,74414
106919,194,McAuslan Brewing,1142649102,4.0,4.5,4.0,Crosling,English Barleywine,3.5,4.5,St-Ambroise Vintage Ale,10.2,3469
1559560,345,Victory Brewing Company,1132023759,5.0,4.0,4.5,blitheringidiot,German Pilsener,4.5,4.5,Braumeister Harvest Pils,6.1,26384
177682,5,Yakima Brewing Co. / Bert Grant's Ales,1080785619,3.0,3.5,3.5,Buzzkill,Hefeweizen,3.0,3.0,Bert Grant's Hefeweizen,,7131
362149,945,Brasserie Belle-Vue,1157033098,3.0,3.5,4.5,ohitsbrad,Lambic - Fruit,3.0,4.0,Belle Vue Framboise,5.2,5356
48750,394,Stoudts Brewing Co.,1070675039,3.5,3.5,4.5,BitteBier,American Stout,3.0,3.0,Stoudt's Fat Dog Stout,6.0,2324
391678,3,Abita Brewing Co.,1320905106,3.0,2.5,3.0,zdk9,American Brown Ale,3.0,3.0,Christmas Ale 2011,5.5,74967
856570,13307,Mikkeller ApS,1311218594,5.0,4.0,4.0,DoubleSimcoe,American Double / Imperial Stout,4.0,4.5,Beer Geek Brunch Weasel,10.9,46987
89915,140,Sierra Nevada Brewing Co.,1212709972,4.5,3.5,4.0,yourefragile,American Pale Ale (APA),4.5,4.0,Sierra Nevada Pale Ale,5.6,276
156689,3818,Southern Tier Brewing Company,1232148672,4.5,4.0,4.0,HopEnthusiast,American Double / Imperial Pilsner,4.5,4.0,Krampus (Imperial Helles Lager),9.0,43738
636052,30,Avery Brewing Company,1113322964,3.5,3.5,3.5,twelvsies,American Brown Ale,3.5,3.5,Ellie's Brown Ale,5.5,2894
395327,17282,Good People Brewing Company,1281758598,5.0,5.0,5.0,harpus,Russian Imperial Stout,5.0,5.0,El Gordo,13.9,59949
1550011,345,Victory Brewing Company,1122071702,4.0,4.5,5.0,vladtheimpaler,Saison / Farmhouse Ale,4.0,4.0,V-Saison,7.5,24759
378085,22,Unibroue,1195864930,4.0,4.0,4.0,animal69,Belgian Strong Dark Ale,4.0,4.0,Trois Pistoles,9.0,30
1279788,224,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.,1128296142,2.0,3.0,3.5,mynie,Munich Dunkel Lager,3.0,1.5,St. Pauli Girl Special Dark,4.8,698
44060,263,Brauerei Heller-Trum / Schlenkerla,1323755514,4.0,4.0,4.0,TheQuietMan22,Doppelbock,4.0,4.5,Aecht Schlenkerla Eiche,8.0,54731
954512,691,Blackstone Restaurant & Brewery,1097600619,4.0,3.5,4.0,pixrob,English Brown Ale,3.0,4.0,Blackstone Nut Brown Ale,5.6,1989
734171,7753,Olde Hickory Brewery,1311072723,3.5,3.5,3.5,Thorpe429,English Barleywine,3.5,3.0,Irish Walker,10.14,55002
847153,11034,"Bard's Tale Beer Company, LLC",1117744573,3.0,3.5,3.0,stoned2,Fruit / Vegetable Beer,3.0,3.5,Dragon's Gold (Gluten Free),4.3,22456
812746,99,Matt Brewing Company,1019318301,4.0,4.0,4.0,Murph,Schwarzbier,4.0,4.0,Saranac Black Forest,5.5,321
1425298,385,Midnight Sun Brewing Co.,1215377311,3.5,4.0,4.0,OWSLEY069,English Barleywine,3.5,3.0,Arctic Devil Barley Wine,13.2,18093
1518211,735,21st Amendment Brewery,1275356525,3.5,2.5,3.5,blackc5,Fruit / Vegetable Beer,3.0,2.5,Hell Or High Watermelon Wheat Beer,4.9,4202
672145,651,Ithaca Beer Company,1180382153,3.5,3.5,4.0,MuddyFeet,American Pale Wheat Ale,4.0,3.5,White Gold,7.5,36476
1473875,354,Carolina Beer Company,1162003974,3.5,3.5,4.0,AleAholic,English Brown Ale,4.0,3.0,Cottonwood Low Down Brown Ale,5.4,5068
779666,13014,Surly Brewing Company,1243799762,4.5,4.0,4.5,tavernjef,American Double / Imperial IPA,4.5,4.0,Abrasive Ale,9.0,46849
1304206,29,Anheuser-Busch,1221452134,3.5,3.0,3.5,matty,Light Lager,3.5,3.5,Busch Light,4.1,1390
710983,1471,Dark Horse Brewing Company,1244439633,4.0,4.0,5.0,waltonc,American Double / Imperial IPA,4.0,4.0,Dark Horse Double Crooked Tree IPA,13.6,22381
439106,23842,Leech Lake Brewing Company,1287247715,4.0,4.0,4.0,morimech,English India Pale Ale (IPA),4.0,3.5,Serend,6.5,62662
94459,140,Sierra Nevada Brewing Co.,1297654826,3.0,5.0,4.5,joshuasamantha,American Barleywine,4.5,5.0,30th Anniversary - Jack & Ken's Ale,10.2,60474
1513968,21505,Hofbrauhaus Wolters GmbH,1323844752,3.5,3.5,3.5,Stinkypuss,German Pilsener,3.5,3.5,Wolters Pilsener Premium,4.9,54998
34226,1199,Founders Brewing Company,1140908490,4.5,5.0,4.0,Smittysguinness,American Double / Imperial Stout,4.5,5.0,Founders KBS (Kentucky Breakfast Stout),11.2,19960
1479715,124,Paulaner Brauerei GmbH & Co. KG,1293733593,4.0,4.0,3.5,andrenaline,Hefeweizen,4.0,4.0,Paulaner Hefe-Weissbier Naturtrüb,5.5,1256
158209,3818,Southern Tier Brewing Company,1279858797,4.0,4.0,3.0,jjanega08,American Double / Imperial Stout,4.5,4.0,Oat (Imperial Oatmeal Stout),11.0,21100
1081812,611,Wagner Valley Brewery,1081518378,4.0,4.0,3.5,LRAC,Oatmeal Stout,4.0,3.5,Caywood Station Oatmeal Stout,5.5,4939
1318302,28,Anchor Brewing Company,1296726214,2.5,3.0,3.5,madvermin,English Bitter,2.5,2.5,Anchor Small Beer,3.3,648
271997,68,Flying Dog Brewery,1226245756,4.0,4.0,4.0,chaz410,Baltic Porter,4.0,5.0,Gonzo Imperial Porter,9.2,24071
1298618,29,Anheuser-Busch,1144025201,3.0,1.5,1.5,Drew966,Light Lager,2.5,2.5,Budweiser Select,4.3,20732
60699,16866,The Bruery,1260854935,4.0,3.5,4.5,frayos,American Pale Ale (APA),3.5,4.0,Humulus XPA,4.3,54691
1150406,2391,Cascade Brewing / Raccoon Lodge & Brewpub,1266443454,4.0,4.5,4.0,nickd717,Flanders Red Ale,4.0,4.5,Cascade Drie Zwarte Pieten Sang Noir,9.5,46439
1264745,112,North Coast Brewing Co.,1064782096,4.5,4.0,4.5,winomark,Russian Imperial Stout,4.5,4.0,Old Rasputin Russian Imperial Stout,9.0,412
1387745,292,"Kirin Brewery Company, Limited",1299343983,2.0,1.5,2.0,mikesgroove,Japanese Rice Lager,1.5,1.5,Kirin Lager,4.9,807
1293867,565,Michigan Brewing Company,1284165319,4.5,2.5,4.5,buddhapeace,Witbier,4.5,4.5,Celis White,3.9,5222
1303722,29,Anheuser-Busch,1222010382,3.5,3.5,4.0,johnmichaelsen,American Amber / Red Ale,3.0,3.0,Budweiser American Ale,5.3,43118
691711,252,Bayerische Staatsbrauerei Weihenstephan,1187913839,5.0,4.0,4.5,ponymaster,Hefeweizen,4.0,5.0,Weihenstephaner Hefeweissbier,5.4,731
659958,3120,Alpine Beer Company,1308793038,4.5,4.5,4.0,Allpe45,American IPA,4.5,4.5,Nelson,7.1,32286
660999,3120,Alpine Beer Company,1313708755,4.0,4.0,4.0,cbeer88,American Double / Imperial IPA,4.0,4.5,Pure Hoppiness,8.0,7597
503876,132,Rogue Ales,1198979248,4.0,3.5,3.5,RblWthACoz,American Malt Liquor,3.5,3.5,Dad's Little Helper Malt Liquor,7.2,30424
1073365,2137,Breckenridge Brewery,1092059479,4.0,4.0,4.0,Crosling,American Double / Imperial IPA,4.5,5.0,471 IPA,9.2,22527
1293646,565,Michigan Brewing Company,1231973873,3.5,4.0,4.0,stoutman,American IPA,4.0,4.0,Michigan Brewing High Seas India Pale Ale,7.2,1505
811223,99,Matt Brewing Company,1257476852,3.0,3.5,4.0,BeerPhan86,English Porter,4.0,4.0,Saranac Maple Porter,5.3,53203
567963,2513,Sun Up Brewing Co.,1170972812,4.0,4.0,3.5,BeerBelcher,Russian Imperial Stout,3.5,4.5,Brewer's Den Uvanator Imperial Stout,9.2,35182
312174,35,Boston Beer Company (Samuel Adams),1043939036,4.0,4.5,4.5,Bruiser81,Milk / Sweet Stout,4.5,4.5,Samuel Adams Cream Stout,4.9,1879
1238512,23,Twisted Pine Brewing Company,1151724497,4.0,4.0,3.0,xymyl,American Stout,3.5,4.0,Big Shot Espresso Stout (Timberline Series),,27212
454549,590,New Glarus Brewing Company,1204690747,4.0,4.0,4.0,northyorksammy,Doppelbock,3.5,4.0,Unplugged Bourbon Barrel Bock,,37221
424491,697,Kiuchi Brewery,1158188611,4.0,4.0,3.5,nickss,Witbier,4.0,4.0,Hitachino Nest White Ale,5.0,2013
37882,3268,O'Fallon Brewery,1242702345,4.0,3.5,4.0,Verecund,American IPA,3.5,3.0,5 Day IPA,6.1,28350
1326847,26,Three Floyds Brewing Co. & Brewpub,1216835087,4.0,4.5,4.0,MrMcGibblets,American IPA,4.5,4.5,Alpha Naught (2008),6.0,45188
223312,158,Great Divide Brewing Company,1295920948,4.5,4.5,4.5,larryi86,Russian Imperial Stout,5.0,4.5,Yeti Imperial Stout,9.5,12013
1245034,209,Guinness Ltd.,1085274342,5.0,4.5,4.5,Naerhu,Foreign / Export Stout,5.0,4.5,Guinness Special Export Stout (John Martin - Belgium),8.0,10848
1525194,45,Brooklyn Brewery,1236463937,5.0,3.5,4.0,pinotboy007,Belgian Strong Dark Ale,4.5,4.5,Brooklyn Local 2,9.0,47678
1054650,718,Brouwerij Bavik,1105672403,3.0,3.0,3.0,Dukeofearl,Flanders Oud Bruin,3.5,2.5,Petrus Oud Bruin,5.5,2479
1472118,2669,Black Forest Brew Haus,1222550934,5.0,4.5,4.5,pmkz,Schwarzbier,4.5,5.0,Black Forest Schwarzbier,5.4,8767
1002476,206,Hook & Ladder Brewing Company (No. 2),1212106568,4.0,4.5,4.0,smcolw,English Brown Ale,3.0,4.0,Hook & Ladder Backdraft Brown,4.5,644
1293194,565,Michigan Brewing Company,1070639722,3.5,3.0,4.0,DrunkMcDermott,Hefeweizen,3.0,3.5,Michigan Brewing Wheatland,5.0,3832
301589,35,Boston Beer Company (Samuel Adams),1201155256,4.5,4.0,4.0,Gehrig,Schwarzbier,4.5,4.5,Samuel Adams Black Lager,4.9,21300
